fixed acidity,volatile acidity,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol,quality,quality_binned,sulfur_balance
6.9,0.605,10.7,0.073,40.0,83.0,3.45,0.52,9.4,6,Medium,0.4819277108433735
5.2,0.32,1.8,0.103,13.0,50.0,3.38,0.55,9.2,5,Medium,0.26
7.8,0.645,5.5,0.086,5.0,18.0,3.4,0.55,9.6,6,Medium,0.2777777777777778
7.8,0.6,2.4,0.086,3.0,15.0,3.42,0.6,10.8,6,Medium,0.2
8.1,0.38,2.1,0.066,13.0,30.0,3.23,0.73,9.7,7,High,0.43333333333333335
5.7,1.13,1.5,0.172,7.0,19.0,3.5,0.48,9.8,4,Low,0.3684210526315789
7.3,0.45,5.9,0.074,12.0,87.0,3.33,0.83,10.5,5,Medium,0.13793103448275862
8.8,0.61,2.8,0.088,17.0,46.0,3.26,0.51,9.3,4,Low,0.3695652173913043
7.5,0.49,2.6,0.332,8.0,14.0,3.21,0.9,10.5,6,Medium,0.5714285714285714
8.1,0.66,2.2,0.069,9.0,23.0,3.3,1.2,10.3,5,Medium,0.391304347826087
6.8,0.67,1.8,0.05,5.0,11.0,3.48,0.52,9.5,5,Medium,0.45454545454545453
4.6,0.52,2.1,0.054,8.0,65.0,3.9,0.56,13.1,4,Low,0.12307692307692308
7.7,0.935,2.2,0.114,22.0,114.0,3.25,0.73,9.2,5,Medium,0.19298245614035087
8.7,0.29,1.6,0.113,12.0,37.0,3.25,0.58,9.5,5,Medium,0.32432432432432434
6.4,0.4,1.6,0.066,5.0,12.0,3.34,0.56,9.2,5,Medium,0.4166666666666667
5.6,0.31,1.4,0.074,12.0,96.0,3.32,0.58,9.2,5,Medium,0.125
8.8,0.66,1.7,0.074,4.0,23.0,3.15,0.74,9.2,5,Medium,0.17391304347826086
6.6,0.52,2.2,0.069,8.0,15.0,3.4,0.63,9.4,6,Medium,0.5333333333333333
6.6,0.5,2.1,0.068,6.0,14.0,3.39,0.64,9.4,6,Medium,0.42857142857142855
8.6,0.38,3.0,0.081,30.0,119.0,3.2,0.56,9.4,5,Medium,0.25210084033613445
7.6,0.51,2.8,0.11,33.0,73.0,3.17,0.63,10.2,6,Medium,0.4520547945205479
7.7,0.62,3.8,0.084,25.0,45.0,3.34,0.53,9.5,5,Medium,0.5555555555555556
10.2,0.42,3.4,0.07,4.0,10.0,3.04,0.63,9.6,5,Medium,0.4
7.5,0.63,5.1,0.111,50.0,110.0,3.26,0.77,9.4,5,Medium,0.45454545454545453
7.8,0.59,2.3,0.076,17.0,54.0,3.43,0.59,10.0,5,Medium,0.3148148148148148
7.3,0.39,2.4,0.074,9.0,46.0,3.41,0.54,9.4,6,Medium,0.1956521739130435
8.8,0.4,2.2,0.079,19.0,52.0,3.44,0.64,9.2,5,Medium,0.36538461538461536
7.7,0.69,1.8,0.115,20.0,112.0,3.21,0.71,9.3,5,Medium,0.17857142857142858
7.5,0.52,1.9,0.085,12.0,35.0,3.38,0.62,9.5,7,High,0.34285714285714286
7.0,0.735,2.0,0.081,13.0,54.0,3.39,0.57,9.8,5,Medium,0.24074074074074073
7.2,0.725,4.65,0.086,4.0,11.0,3.41,0.39,10.9,5,Medium,0.36363636363636365
7.5,0.52,1.5,0.079,11.0,39.0,3.42,0.58,9.6,5,Medium,0.28205128205128205
6.6,0.705,1.6,0.076,6.0,15.0,3.44,0.58,10.7,5,Medium,0.4
9.3,0.32,2.0,0.074,27.0,65.0,3.28,0.79,10.7,5,Medium,0.4153846153846154
8.0,0.705,1.9,0.074,8.0,19.0,3.34,0.95,10.5,6,Medium,0.42105263157894735
7.7,0.63,1.9,0.076,15.0,27.0,3.32,0.54,9.5,6,Medium,0.5555555555555556
7.7,0.67,2.1,0.088,17.0,96.0,3.32,0.48,9.5,5,Medium,0.17708333333333334
7.7,0.69,1.9,0.084,18.0,94.0,3.31,0.48,9.5,5,Medium,0.19148936170212766
8.3,0.675,2.1,0.084,11.0,43.0,3.31,0.53,9.2,4,Low,0.2558139534883721
9.7,0.32,2.5,0.094,28.0,83.0,3.28,0.82,9.6,5,Medium,0.3373493975903614
8.8,0.41,2.2,0.093,9.0,42.0,3.54,0.66,10.5,5,Medium,0.21428571428571427
6.8,0.785,2.4,0.104,14.0,30.0,3.52,0.55,10.7,6,Medium,0.4666666666666667
6.7,0.75,2.0,0.086,12.0,80.0,3.38,0.52,10.1,5,Medium,0.15
8.3,0.625,1.5,0.08,27.0,119.0,3.16,1.12,9.1,4,Low,0.226890756302521
6.2,0.45,1.6,0.069,3.0,15.0,3.41,0.56,9.2,5,Medium,0.2
7.8,0.43,1.9,0.464,22.0,67.0,3.13,1.28,9.4,5,Medium,0.3283582089552239
7.4,0.5,2.0,0.086,21.0,73.0,3.36,0.57,9.1,5,Medium,0.2876712328767123
7.3,0.67,1.8,0.401,16.0,51.0,3.16,1.14,9.4,5,Medium,0.3137254901960784
6.3,0.3,1.8,0.069,18.0,61.0,3.44,0.78,10.3,6,Medium,0.29508196721311475
6.9,0.55,2.2,0.076,19.0,40.0,3.41,0.59,10.1,5,Medium,0.475
8.6,0.49,1.9,0.11,20.0,136.0,2.93,1.95,9.9,6,Medium,0.14705882352941177
7.7,0.49,1.9,0.062,9.0,31.0,3.39,0.64,9.6,5,Medium,0.2903225806451613
9.3,0.39,2.1,0.107,34.0,125.0,3.14,1.22,9.5,5,Medium,0.272
7.0,0.62,1.8,0.076,8.0,24.0,3.48,0.53,9.0,5,Medium,0.3333333333333333
7.9,0.52,1.9,0.079,42.0,140.0,3.23,0.54,9.5,5,Medium,0.3
8.6,0.49,2.0,0.11,19.0,133.0,2.93,1.98,9.8,5,Medium,0.14285714285714285
5.0,1.02,1.4,0.045,41.0,85.0,3.75,0.48,10.5,4,Low,0.4823529411764706
4.7,0.6,2.3,0.058,17.0,106.0,3.85,0.6,12.9,6,Medium,0.16037735849056603
6.8,0.775,3.0,0.102,8.0,23.0,3.45,0.56,10.7,5,Medium,0.34782608695652173
7.0,0.5,2.0,0.07,3.0,22.0,3.25,0.63,9.2,5,Medium,0.13636363636363635
7.6,0.9,2.5,0.079,5.0,10.0,3.39,0.56,9.8,5,Medium,0.5
8.1,0.545,1.9,0.08,13.0,35.0,3.3,0.59,9.0,6,Medium,0.37142857142857144
8.3,0.61,2.1,0.084,11.0,50.0,3.4,0.61,10.2,6,Medium,0.22
7.8,0.5,1.9,0.075,8.0,22.0,3.31,0.56,10.4,6,Medium,0.36363636363636365
8.1,0.575,2.1,0.077,12.0,65.0,3.29,0.51,9.2,5,Medium,0.18461538461538463
7.2,0.49,2.2,0.07,5.0,36.0,3.33,0.48,9.4,5,Medium,0.1388888888888889
7.8,0.41,1.7,0.467,18.0,69.0,3.08,1.31,9.3,5,Medium,0.2608695652173913
6.2,0.63,1.7,0.088,15.0,64.0,3.46,0.79,9.3,5,Medium,0.234375
8.0,0.33,2.5,0.091,18.0,80.0,3.37,0.8,9.6,6,Medium,0.225
8.1,0.785,2.0,0.122,37.0,153.0,3.21,0.69,9.3,5,Medium,0.24183006535947713
7.8,0.56,1.8,0.104,12.0,47.0,3.19,0.93,9.5,5,Medium,0.2553191489361702
8.4,0.62,2.2,0.084,11.0,108.0,3.15,0.66,9.8,5,Medium,0.10185185185185185
8.4,0.6,2.2,0.085,14.0,111.0,3.15,0.66,9.8,5,Medium,0.12612612612612611
10.1,0.31,2.3,0.08,22.0,46.0,3.32,0.67,9.7,6,Medium,0.4782608695652174
9.4,0.4,2.2,0.09,13.0,62.0,3.07,0.63,10.5,6,Medium,0.20967741935483872
8.3,0.54,1.9,0.077,11.0,40.0,3.39,0.61,10.0,6,Medium,0.275
7.8,0.56,2.0,0.082,7.0,28.0,3.37,0.5,9.4,6,Medium,0.25
8.8,0.55,2.2,0.119,14.0,56.0,3.21,0.6,10.9,6,Medium,0.25
7.0,0.69,1.8,0.097,22.0,89.0,3.34,0.54,9.2,6,Medium,0.24719101123595505
7.3,1.07,1.7,0.178,10.0,89.0,3.3,0.57,9.0,5,Medium,0.11235955056179775
7.3,0.695,2.5,0.075,3.0,13.0,3.49,0.52,9.2,5,Medium,0.23076923076923078
8.0,0.71,2.6,0.08,11.0,34.0,3.44,0.53,9.5,5,Medium,0.3235294117647059
7.8,0.5,1.6,0.082,21.0,102.0,3.39,0.48,9.5,5,Medium,0.20588235294117646
9.0,0.62,1.9,0.146,27.0,90.0,3.16,0.7,9.4,5,Medium,0.3
8.2,1.33,1.7,0.081,3.0,12.0,3.53,0.49,10.9,5,Medium,0.25
8.1,1.33,1.8,0.082,3.0,12.0,3.54,0.48,10.9,5,Medium,0.25
8.0,0.59,1.8,0.065,3.0,16.0,3.42,0.92,10.5,7,High,0.1875
6.1,0.38,1.8,0.072,6.0,19.0,3.42,0.57,9.4,5,Medium,0.3157894736842105
8.0,0.745,2.0,0.118,30.0,134.0,3.24,0.66,9.4,5,Medium,0.22388059701492538
5.6,0.5,2.3,0.049,17.0,99.0,3.63,0.63,13.0,5,Medium,0.1717171717171717
6.6,0.5,1.5,0.06,17.0,26.0,3.4,0.58,9.8,6,Medium,0.6538461538461539
7.9,1.04,2.2,0.084,13.0,29.0,3.22,0.55,9.9,6,Medium,0.4482758620689655
8.4,0.745,1.9,0.09,16.0,63.0,3.19,0.82,9.6,5,Medium,0.25396825396825395
8.3,0.715,1.8,0.089,10.0,52.0,3.23,0.77,9.5,5,Medium,0.19230769230769232
7.2,0.415,2.0,0.081,13.0,45.0,3.48,0.64,9.2,5,Medium,0.28888888888888886
7.8,0.56,2.1,0.081,15.0,105.0,3.33,0.54,9.5,5,Medium,0.14285714285714285
7.8,0.56,2.0,0.081,17.0,108.0,3.32,0.54,9.5,5,Medium,0.1574074074074074
5.2,0.34,1.8,0.05,27.0,63.0,3.68,0.79,14.0,6,Medium,0.42857142857142855
6.3,0.39,1.7,0.066,3.0,20.0,3.34,0.58,9.4,5,Medium,0.15
8.1,0.67,1.8,0.117,32.0,141.0,3.17,0.62,9.4,5,Medium,0.22695035460992907
5.8,0.68,1.8,0.087,21.0,94.0,3.54,0.52,10.0,5,Medium,0.22340425531914893
7.6,0.49,1.6,0.236,10.0,88.0,3.11,0.8,9.3,5,Medium,0.11363636363636363
6.9,0.49,2.3,0.074,12.0,30.0,3.42,0.58,10.2,6,Medium,0.4
8.2,0.4,2.8,0.089,11.0,43.0,3.53,0.61,10.5,6,Medium,0.2558139534883721
7.3,0.33,2.1,0.077,5.0,11.0,3.33,0.53,10.3,6,Medium,0.45454545454545453
9.2,0.52,3.4,0.61,32.0,69.0,2.74,2.0,9.4,4,Low,0.463768115942029
7.5,0.6,1.8,0.095,25.0,99.0,3.35,0.54,10.1,5,Medium,0.25252525252525254
7.1,0.43,5.5,0.07,29.0,129.0,3.42,0.72,10.5,5,Medium,0.2248062015503876
7.1,0.43,5.5,0.071,28.0,128.0,3.42,0.71,10.5,5,Medium,0.21875
7.1,0.68,2.2,0.073,12.0,22.0,3.48,0.5,9.3,5,Medium,0.5454545454545454
6.8,0.6,1.9,0.079,18.0,86.0,3.59,0.57,9.3,6,Medium,0.20930232558139536
7.6,0.95,2.0,0.09,7.0,20.0,3.2,0.56,9.6,5,Medium,0.35
7.6,0.68,1.3,0.072,9.0,20.0,3.17,1.08,9.2,4,Low,0.45
7.8,0.53,1.7,0.076,17.0,31.0,3.33,0.56,10.0,6,Medium,0.5483870967741935
7.4,0.6,7.3,0.07,36.0,121.0,3.37,0.49,9.4,5,Medium,0.2975206611570248
7.3,0.59,7.2,0.07,35.0,121.0,3.37,0.49,9.4,5,Medium,0.2892561983471074
7.8,0.63,1.7,0.1,14.0,96.0,3.19,0.62,9.5,5,Medium,0.14583333333333334
6.8,0.64,2.1,0.085,18.0,101.0,3.34,0.52,10.2,5,Medium,0.1782178217821782
7.3,0.55,1.6,0.072,17.0,42.0,3.37,0.48,9.0,4,Low,0.40476190476190477
6.8,0.63,2.1,0.089,11.0,44.0,3.47,0.55,10.4,6,Medium,0.25
7.5,0.705,1.8,0.36,15.0,63.0,3.0,1.59,9.5,5,Medium,0.23809523809523808
7.9,0.885,1.8,0.058,4.0,8.0,3.36,0.33,9.1,4,Low,0.5
8.0,0.42,2.0,0.073,6.0,18.0,3.29,0.61,9.2,6,Medium,0.3333333333333333
7.4,0.62,1.9,0.068,24.0,42.0,3.42,0.57,11.5,6,Medium,0.5714285714285714
7.3,0.38,2.0,0.08,7.0,35.0,3.33,0.47,9.5,5,Medium,0.2
6.9,0.5,1.5,0.085,19.0,49.0,3.35,0.78,9.5,5,Medium,0.3877551020408163
7.5,0.52,2.3,0.087,8.0,38.0,3.58,0.61,10.5,6,Medium,0.21052631578947367
7.0,0.805,2.5,0.068,7.0,20.0,3.48,0.56,9.6,5,Medium,0.35
8.8,0.61,2.4,0.067,10.0,42.0,3.19,0.59,9.5,5,Medium,0.23809523809523808
8.9,0.61,2.0,0.27,23.0,110.0,3.12,1.02,9.3,5,Medium,0.20909090909090908
7.2,0.73,2.5,0.076,16.0,42.0,3.44,0.52,9.3,5,Medium,0.38095238095238093
6.8,0.61,1.8,0.077,11.0,65.0,3.54,0.58,9.3,5,Medium,0.16923076923076924
6.7,0.62,1.9,0.079,8.0,62.0,3.52,0.58,9.3,6,Medium,0.12903225806451613
8.9,0.31,2.0,0.111,26.0,85.0,3.26,0.53,9.7,5,Medium,0.3058823529411765
7.4,0.39,2.0,0.082,14.0,67.0,3.34,0.55,9.2,5,Medium,0.208955223880597
7.7,0.705,2.6,0.084,9.0,26.0,3.39,0.49,9.7,5,Medium,0.34615384615384615
7.9,0.5,2.0,0.084,15.0,143.0,3.2,0.55,9.5,5,Medium,0.1048951048951049
7.9,0.49,1.9,0.082,17.0,144.0,3.2,0.55,9.5,5,Medium,0.11805555555555555
8.2,0.5,2.9,0.077,21.0,127.0,3.23,0.62,9.4,5,Medium,0.16535433070866143
6.4,0.37,1.9,0.074,21.0,49.0,3.57,0.62,9.8,6,Medium,0.42857142857142855
6.8,0.63,3.8,0.099,16.0,126.0,3.28,0.61,9.5,5,Medium,0.12698412698412698
7.6,0.55,2.2,0.071,7.0,28.0,3.28,0.55,9.7,5,Medium,0.25
7.8,0.59,2.0,0.074,24.0,120.0,3.25,0.54,9.4,5,Medium,0.2
7.3,0.58,2.4,0.074,15.0,55.0,3.46,0.59,10.2,5,Medium,0.2727272727272727
11.5,0.3,2.0,0.067,12.0,27.0,3.11,0.97,10.1,6,Medium,0.4444444444444444
5.4,0.835,1.2,0.046,13.0,93.0,3.57,0.85,13.0,7,High,0.13978494623655913
6.9,1.09,2.1,0.061,12.0,31.0,3.51,0.43,11.4,4,Low,0.3870967741935484
9.6,0.32,1.4,0.056,9.0,24.0,3.22,0.82,10.3,7,High,0.375
8.8,0.37,2.1,0.097,39.0,145.0,3.04,1.03,9.3,5,Medium,0.2689655172413793
6.8,0.5,1.5,0.075,16.0,49.0,3.36,0.79,9.5,5,Medium,0.32653061224489793
7.0,0.42,1.6,0.088,16.0,39.0,3.34,0.55,9.2,5,Medium,0.41025641025641024
7.0,0.43,1.6,0.089,14.0,37.0,3.34,0.56,9.2,6,Medium,0.3783783783783784
12.8,0.3,2.6,0.095,9.0,28.0,3.2,0.77,10.8,7,High,0.32142857142857145
7.8,0.57,1.8,0.069,26.0,120.0,3.29,0.53,9.3,5,Medium,0.21666666666666667
7.8,0.44,2.7,0.1,18.0,95.0,3.22,0.67,9.4,5,Medium,0.18947368421052632
11.0,0.3,2.1,0.054,7.0,19.0,3.31,0.88,10.5,7,High,0.3684210526315789
9.7,0.53,2.0,0.039,5.0,19.0,3.3,0.86,12.4,6,Medium,0.2631578947368421
8.0,0.725,2.8,0.083,10.0,62.0,3.35,0.56,10.0,6,Medium,0.16129032258064516
11.6,0.44,2.1,0.059,5.0,15.0,3.21,0.67,10.2,6,Medium,0.3333333333333333
8.2,0.57,2.2,0.06,28.0,65.0,3.3,0.43,10.1,5,Medium,0.4307692307692308
7.8,0.735,2.4,0.092,10.0,41.0,3.24,0.71,9.8,6,Medium,0.24390243902439024
7.0,0.49,5.6,0.06,26.0,121.0,3.34,0.76,10.5,5,Medium,0.21487603305785125
8.7,0.625,2.0,0.101,13.0,49.0,3.14,0.57,11.0,5,Medium,0.2653061224489796
8.1,0.725,2.2,0.072,11.0,41.0,3.36,0.55,9.1,5,Medium,0.2682926829268293
7.5,0.49,1.9,0.076,10.0,44.0,3.39,0.54,9.7,5,Medium,0.22727272727272727
7.8,0.53,2.4,0.08,24.0,144.0,3.3,0.6,9.5,5,Medium,0.16666666666666666
7.8,0.34,2.0,0.082,24.0,58.0,3.34,0.59,9.4,6,Medium,0.41379310344827586
7.4,0.53,2.0,0.101,16.0,72.0,3.15,0.57,9.4,5,Medium,0.2222222222222222
6.8,0.61,1.5,0.057,5.0,10.0,3.42,0.6,9.5,5,Medium,0.5
8.6,0.645,2.0,0.083,8.0,28.0,3.28,0.6,10.0,6,Medium,0.2857142857142857
8.4,0.635,2.0,0.089,15.0,55.0,3.31,0.57,10.4,4,Low,0.2727272727272727
7.7,0.43,2.6,0.073,29.0,63.0,3.37,0.58,10.5,6,Medium,0.4603174603174603
8.9,0.59,2.0,0.337,27.0,81.0,3.04,1.61,9.5,6,Medium,0.3333333333333333
9.0,0.82,2.6,0.089,9.0,23.0,3.39,0.63,9.8,5,Medium,0.391304347826087
6.9,0.52,2.6,0.081,10.0,37.0,3.46,0.5,11.0,5,Medium,0.2702702702702703
5.2,0.48,1.6,0.054,19.0,106.0,3.54,0.62,12.2,7,High,0.1792452830188679
8.0,0.38,1.8,0.078,12.0,49.0,3.37,0.52,9.9,6,Medium,0.24489795918367346
8.5,0.37,2.8,0.09,18.0,58.0,3.34,0.7,9.6,6,Medium,0.3103448275862069
8.2,1.0,2.3,0.065,7.0,37.0,3.32,0.55,9.0,6,Medium,0.1891891891891892
7.2,0.63,1.9,0.097,14.0,38.0,3.37,0.58,9.0,6,Medium,0.3684210526315789
7.2,0.645,1.9,0.097,15.0,39.0,3.37,0.58,9.2,6,Medium,0.38461538461538464
8.9,0.635,1.7,0.263,5.0,62.0,3.0,1.09,9.3,5,Medium,0.08064516129032258
12.0,0.38,2.1,0.093,6.0,24.0,3.14,0.71,10.9,6,Medium,0.25
7.7,0.58,1.8,0.102,28.0,109.0,3.08,0.49,9.8,6,Medium,0.25688073394495414
15.0,0.21,2.2,0.075,10.0,24.0,3.07,0.84,9.2,7,High,0.4166666666666667
7.3,0.66,2.0,0.084,6.0,23.0,3.61,0.96,9.9,6,Medium,0.2608695652173913
7.1,0.68,1.9,0.075,16.0,51.0,3.38,0.52,9.5,5,Medium,0.3137254901960784
8.2,0.6,2.3,0.072,11.0,73.0,3.2,0.45,9.3,5,Medium,0.1506849315068493
7.7,0.53,1.7,0.074,9.0,39.0,3.35,0.48,9.8,6,Medium,0.23076923076923078
10.8,0.32,1.6,0.063,16.0,37.0,3.22,0.78,10.0,6,Medium,0.43243243243243246
7.1,0.6,1.8,0.074,16.0,34.0,3.47,0.7,9.9,6,Medium,0.47058823529411764
11.1,0.35,3.1,0.09,5.0,21.0,3.17,0.53,10.5,5,Medium,0.23809523809523808
7.7,0.775,1.9,0.092,8.0,86.0,3.23,0.59,9.5,5,Medium,0.09302325581395349
8.0,0.57,3.2,0.073,17.0,119.0,3.26,0.57,9.3,5,Medium,0.14285714285714285
9.4,0.34,2.2,0.075,5.0,13.0,3.22,0.62,9.2,5,Medium,0.38461538461538464
6.6,0.695,2.1,0.075,12.0,56.0,3.49,0.67,9.2,5,Medium,0.21428571428571427
7.7,0.41,1.8,0.611,8.0,45.0,3.06,1.26,9.4,5,Medium,0.17777777777777778
10.0,0.31,2.6,0.085,14.0,33.0,3.36,0.8,10.5,7,High,0.42424242424242425
7.9,0.33,1.7,0.077,18.0,45.0,3.29,0.65,9.3,5,Medium,0.4
7.0,0.975,2.0,0.087,12.0,67.0,3.35,0.6,9.4,4,Low,0.1791044776119403
8.0,0.52,1.7,0.07,10.0,35.0,3.34,0.57,10.0,5,Medium,0.2857142857142857
7.9,0.37,1.8,0.077,23.0,49.0,3.28,0.67,9.3,5,Medium,0.46938775510204084
12.5,0.56,2.4,0.064,5.0,27.0,3.08,0.87,10.9,5,Medium,0.18518518518518517
11.8,0.26,1.8,0.071,6.0,10.0,3.2,0.72,10.2,7,High,0.6
8.1,0.87,3.3,0.096,26.0,61.0,3.6,0.72,9.8,4,Low,0.4262295081967213
7.9,0.35,3.6,0.078,15.0,37.0,3.35,0.86,12.8,8,,0.40540540540540543
6.9,0.54,3.0,0.077,7.0,27.0,3.69,0.91,9.4,6,Medium,0.25925925925925924
11.5,0.18,4.0,0.104,4.0,23.0,3.28,0.97,10.1,6,Medium,0.17391304347826086
7.9,0.545,4.0,0.087,27.0,61.0,3.36,0.67,10.7,6,Medium,0.4426229508196721
10.9,0.37,4.0,0.071,17.0,65.0,3.22,0.78,10.1,5,Medium,0.26153846153846155
8.4,0.715,2.4,0.076,10.0,38.0,3.31,0.64,9.4,5,Medium,0.2631578947368421
7.5,0.65,7.0,0.088,27.0,94.0,3.38,0.77,9.4,5,Medium,0.2872340425531915
10.3,0.32,6.4,0.073,5.0,13.0,3.23,0.82,12.6,8,,0.38461538461538464
8.9,0.4,5.6,0.087,10.0,47.0,3.38,0.77,10.5,7,High,0.2127659574468085
11.4,0.26,3.6,0.071,6.0,19.0,3.12,0.82,9.3,6,Medium,0.3157894736842105
7.7,0.27,3.5,0.358,5.0,10.0,3.25,1.08,9.9,7,High,0.5
7.6,0.52,3.0,0.067,12.0,53.0,3.36,0.57,9.1,5,Medium,0.22641509433962265
9.9,0.59,3.4,0.102,32.0,71.0,3.31,0.71,9.8,5,Medium,0.4507042253521127
12.0,0.45,2.0,0.073,25.0,49.0,3.1,0.76,10.3,6,Medium,0.5102040816326531
7.5,0.4,3.0,0.092,29.0,53.0,3.37,0.7,10.3,6,Medium,0.5471698113207547
8.7,0.52,2.5,0.091,20.0,49.0,3.34,0.86,10.6,7,High,0.40816326530612246
11.6,0.42,3.3,0.105,33.0,98.0,3.2,0.95,9.2,5,Medium,0.336734693877551
11.0,0.2,2.0,0.343,6.0,18.0,3.3,0.71,10.5,5,Medium,0.3333333333333333
10.4,0.55,2.7,0.091,18.0,48.0,3.22,0.64,10.3,6,Medium,0.375
6.9,0.36,2.4,0.098,5.0,16.0,3.41,0.6,10.1,6,Medium,0.3125
13.3,0.34,3.2,0.094,17.0,53.0,3.05,0.81,9.5,6,Medium,0.32075471698113206
10.8,0.5,2.5,0.073,5.0,27.0,3.05,0.64,9.5,5,Medium,0.18518518518518517
10.6,0.83,2.6,0.086,26.0,70.0,3.16,0.52,9.9,5,Medium,0.37142857142857144
7.1,0.63,2.0,0.083,8.0,29.0,3.67,0.73,9.6,5,Medium,0.27586206896551724
7.2,0.65,2.3,0.094,5.0,31.0,3.67,0.8,9.7,5,Medium,0.16129032258064516
6.9,0.67,2.1,0.08,8.0,33.0,3.68,0.71,9.6,5,Medium,0.24242424242424243
7.5,0.53,2.6,0.086,20.0,44.0,3.38,0.59,10.7,6,Medium,0.45454545454545453
11.1,0.18,1.5,0.068,7.0,15.0,3.22,0.64,10.1,6,Medium,0.4666666666666667
8.3,0.705,2.6,0.092,12.0,28.0,3.51,0.72,10.0,5,Medium,0.42857142857142855
7.4,0.67,1.6,0.186,5.0,21.0,3.39,0.54,9.5,5,Medium,0.23809523809523808
8.4,0.65,2.1,0.112,12.0,90.0,3.2,0.52,9.2,5,Medium,0.13333333333333333
10.3,0.53,2.5,0.063,6.0,25.0,3.12,0.59,9.3,6,Medium,0.24
7.6,0.62,2.2,0.082,7.0,54.0,3.36,0.52,9.4,5,Medium,0.12962962962962962
10.3,0.41,2.4,0.213,6.0,14.0,3.19,0.62,9.5,6,Medium,0.42857142857142855
10.3,0.43,2.4,0.214,5.0,12.0,3.19,0.63,9.5,6,Medium,0.4166666666666667
7.4,0.29,1.7,0.062,9.0,30.0,3.41,0.53,9.5,6,Medium,0.3
7.9,0.53,2.0,0.072,15.0,105.0,3.27,0.54,9.4,6,Medium,0.14285714285714285
9.0,0.46,2.8,0.093,19.0,98.0,3.32,0.63,9.5,6,Medium,0.19387755102040816
8.6,0.47,3.0,0.076,30.0,135.0,3.3,0.53,9.4,5,Medium,0.2222222222222222
7.4,0.36,2.6,0.087,26.0,72.0,3.39,0.68,11.0,5,Medium,0.3611111111111111
7.1,0.35,2.5,0.096,20.0,53.0,3.42,0.65,11.0,6,Medium,0.37735849056603776
9.6,0.56,3.4,0.102,37.0,92.0,3.3,0.65,10.1,5,Medium,0.40217391304347827
